Movie_Title,Movie_ID,Budget,Cast,Crew,Studios,Genre,Keywords,Languages,Countries,Release_Data,Runtime,Gross_worldwide,Rating,Rating_Count,ListOfCertificate,Release_Year,Release_Month,Release_Day,GenreRank,SpecialMonth,CastsRank,NumLeadActors,HasTop50Actors,NumStudios,StudioRank,NumTopStudios,HasTopStudio,CountryRank,LanguageRank,keywordRank,cerRank
The Lion King,6105098,260000000,"['Donald Glover', 'Beyoncé', 'Seth Rogen', 'Chiwetel Ejiofor', 'John Oliver', 'James Earl Jones', 'John Kani', 'Alfre Woodard', 'JD McCrary', 'Shahadi Wright Joseph', 'Penny Johnson Jerald', 'Keegan-Michael Key', 'Eric André', 'Florence Kasumba', 'Billy Eichner', 'Amy Sedaris', 'Chance the Rapper', 'Josh McCrary']","['Jeff Nathanson', 'Jon Favreau', 'Irene Mecchi', 'Jonathan Roberts']","['Walt Disney Pictures', 'Fairview Entertainment', 'British Film Commission']","['Animation', 'Adventure', 'Drama', 'Family', 'Musical']","['remake of remake', 'lion', 'remake', 'africa', 'king']","['English', 'Xhosa', 'Zulu', 'French', 'Spanish', 'Hindi']","['United States', 'United Kingdom', 'South Africa']",2019-07-19,118,1662899439,6.8,230000,['PG'],2019,7,19,14.6,1,22729,2,1,3,675,1,1,7,4,164,2
Star Wars: Episode VIII - The Last Jedi,2527336,317000000,"['Daisy Ridley', 'John Boyega', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Oscar Isaac', 'Andy Serkis', ""Lupita Nyong'o"", 'Domhnall Gleeson', 'Anthony Daniels', 'Gwendoline Christie', 'Kelly Marie Tran', 'Laura Dern', 'Benicio Del Toro', 'Frank Oz', 'Billie Lourd', 'Joonas Suotamo', 'Amanda Lawrence']","['George Lucas', 'Rian Johnson']","['Walt Disney Pictures', 'Lucasfilm', 'Ram Bergman Productions']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['wisecrack humor', 'one liner', 'sabotage', 'deception', 'betrayal']",['English'],['United States'],2017-12-15,152,1332698830,6.9,597000,['PG-13'],2017,12,15,16.5,1,37870,7,1,3,821,2,1,4,1,157,4
The Avengers,848228,220000000,"['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'Mark Ruffalo', 'Chris Hemsworth', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson', 'Gwyneth Paltrow', 'Paul Bettany', 'Alexis Denisof', 'Tina Benko', 'Jerzy Skolimowski', 'Kirill Nikiforov', 'Jeff Wolfe']","['Joss Whedon', 'Zak Penn']","['Marvel Studios', 'Paramount Pictures']","['Action', 'Adventure', 'Sci-Fi']","['superhero', 'marvel cinematic universe', 'alien invasion', 's.h.i.e.l.d.', 'final battle']","['English', 'Russian', 'Hindi']",['United States'],2012-04-27,143,1518815515,8.0,1300000,['PG-13'],2012,4,27,16.333333333333332,0,41156,6,1,2,707,2,1,4,7,167,4
Star Wars: Episode I - The Phantom Menace,120915,115000000,"['Ewan McGregor', 'Liam Neeson', 'Natalie Portman', 'Jake Lloyd', 'Ian McDiarmid', 'Pernilla August', 'Oliver Ford Davies', 'Hugh Quarshie', 'Ahmed Best', 'Anthony Daniels', 'Kenny Baker', 'Frank Oz', 'Terence Stamp', 'Brian Blessed', 'Andy Secombe', 'Ray Park', 'Lewis Macleod', 'Warwick Davis']",['George Lucas'],['Lucasfilm'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['r2 d2 character', 'c 3po character', 'jedi', 'torso cut in half', 'slavery']","['English', 'Sanskrit']",['United States'],1999-05-19,136,1027082707,6.5,764000,['PG'],1999,5,19,16.5,1,27514,4,1,1,387,1,1,4,1,0,2
Jurassic World,369610,150000000,"['Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins', 'Judy Greer', 'Irfan Khan', ""Vincent D'Onofrio"", 'Nick Robinson', 'Jake Johnson', 'Omar Sy', 'BD Wong', 'Lauren Lapkus', 'Brian Tee', 'Katie McGrath', 'Andy Buckley', 'Eric Edelstein', 'Courtney James Clark', 'Colby Boothman', 'Jimmy Fallon']","['Colin Trevorrow', 'Amanda Silver', 'Rick Jaffa']","['Universal Pictures', 'Amblin Entertainment', 'Legendary Entertainment']","['Action', 'Adventure', 'Sci-Fi']","['dinosaur', 'disaster film', 'theme park', 'experiment gone wrong', 'aquarium']",['English'],['United States'],2015-06-12,124,1670516444,7.0,607000,['PG-13'],2015,6,12,16.333333333333332,1,28287,4,0,3,1041,3,1,4,1,0,4
Despicable Me 2,1690953,76000000,"['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt', 'Miranda Cosgrove', 'Russell Brand', 'Ken Jeong', 'Steve Coogan', 'Elsie Fisher', 'Dana Gaier', 'Moises Arias', 'Nasim Pedrad', 'Kristen Schaal', 'Pierre Coffin', 'Chris Renaud', 'Nickolai Stoilov', 'Vanessa Bayer', 'Ava Acres', 'Lori Alan']","['Ken Daurio', 'Pierre Coffin', 'Cinco Paul', 'Chris Renaud']","['Universal Pictures', 'Illumination Entertainment']","['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sci-Fi']","['minion', 'woman agent', 'overprotective father', 'dating', 'undercover spy']","['English', 'Ukrainian']","['United States', 'France', 'Japan']",2013-07-03,98,970766005,7.3,384000,['PG'],2013,7,3,14.666666666666666,1,22297,0,0,2,706,2,1,9,1,0,2
The Jungle Book,3040964,175000000,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley', 'Idris Elba', ""Lupita Nyong'o"", 'Scarlett Johansson', 'Giancarlo Esposito', 'Christopher Walken', 'Garry Shandling', 'Brighton Rose Favreau', 'Emjay Anthony', 'Max Favreau', 'Chloe Hechter', 'Asher Blinkoff', 'Knox Gagnon', 'Sasha Schreiber', 'Kai Schreiber', 'Jon Favreau']","['Justin Marks', 'Rudyard Kipling', 'Jon Favreau']","['Fairview Entertainment', 'Moving Picture Company (MPC)', 'Prime Focus']","['Adventure', 'Drama', 'Family', 'Fantasy']","['jungle', 'tiger', 'wolf', 'black panther', 'fire']","['English', 'Hindi', 'Bengali', 'Kannada', 'Telugu', 'Tamil', 'Assamese', 'Gujarati', 'Urdu', 'Oriya', 'Punjabi', 'Malayalam', 'Marathi', 'Rajasthani', 'Haryanvi', 'Nepali']","['United Kingdom', 'United States']",2016-04-15,106,966554929,7.4,269000,['PG'],2016,4,15,14.0,0,24127,2,1,3,489,0,0,7,1,161,2
Deadpool,1431045,58000000,"['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein', 'Karan Soni', 'Michael Benyaer', 'Stefan Kapicic', 'Brianna Hildebrand', 'Style Dayne', 'Kyle Cassie', 'Taylor Hickson', 'Ayzee', 'Naika Toussaint', 'Randal Reeder', 'Isaac C. Singleton Jr.', 'Justyn Shippelt', 'Donna Yamamoto', 'Jed Rees']","['Paul Wernick', 'Rhett Reese', 'Tim Miller']","['Twentieth Century Fox', 'Marvel Entertainment', 'Kinberg Genre']","['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['breaking the fourth wall', 'anti hero', 'sex scene', 'mercenary', 'revenge']",['English'],['United States'],2016-02-12,108,782836791,8.0,966000,['R'],2016,2,12,15.0,0,11074,2,0,3,892,2,1,4,1,111,1
Incredibles 2,3606756,200000000,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huck Milner', 'Catherine Keener', 'Eli Fucile', 'Bob Odenkirk', 'Samuel L. Jackson', 'Michael Bird', 'Sophia Bush', 'Brad Bird', 'Phil LaMarr', 'Isabella Rossellini', 'Adam Gates', 'Jonathan Banks', 'John Ratzenberger', 'Bill Wise', 'Nicholas Bird']",['Brad Bird'],"['Walt Disney Pictures', 'Pixar Animation Studios']","['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']","['computer animation', 'superheroine', 'superhero', 'working mother', 'parenting']",['English'],['United States'],2018-06-15,118,1243089244,7.6,274000,['PG'],2018,6,15,16.333333333333332,1,19377,1,1,2,773,2,1,4,1,167,2
The Secret Life of Pets,2709768,75000000,"['Louis C.K.', 'Eric Stonestreet', 'Kevin Hart', 'Lake Bell', 'Jenny Slate', 'Ellie Kemper', 'Albert Brooks', 'Dana Carvey', 'Hannibal Buress', 'Bobby Moynihan', 'Chris Renaud', 'Steve Coogan', 'Michael Beattie', 'Sandra Echeverría', 'Jaime Camil', 'Kiely Renaud', 'Bob Bergen', 'Jim Cummings']","['Brian Lynch', 'Ken Daurio', 'Cinco Paul', 'Chris Renaud']","['Universal Pictures', 'Illumination Entertainment', 'Dentsu']","['Animation', 'Adventure', 'Comedy', 'Family']","['rodent', 'animal', 'frog', 'fight', 'betrayal']",['English'],"['United States', 'France', 'Japan']",2016-07-01,87,875458631,6.5,194000,['PG'],2016,7,1,16.75,1,34591,4,1,3,1066,3,1,9,1,157,2
The Lord of the Rings: The Return of the King,167260,94000000,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom', 'Noel Appleby', 'Ali Astin', 'Sean Astin', 'David Aston', 'John Bach', 'Sean Bean', 'Cate Blanchett', 'Billy Boyd', 'Sadwyn Brophy', 'Alistair Browning', 'Marton Csokas', 'Richard Edge', 'Jason Fitch', 'Bernard Hill']","['J.R.R. Tolkien', 'Fran Walsh', 'Peter Jackson', 'Philippa Boyens']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['Action', 'Adventure', 'Drama', 'Fantasy']","['epic', 'orc', 'hobbit', 'ring', 'middle earth']","['English', 'Quenya', 'Old English', 'Sindarin']","['New Zealand', 'United States']",2003-12-17,201,1146030912,8.9,1700000,['PG-13'],2003,12,17,13.5,1,25648,3,1,3,1045,2,1,4,1,0,4
Star Wars: Episode III - Revenge of the Sith,121766,113000000,"['Hayden Christensen', 'Natalie Portman', 'Ewan McGregor', 'Samuel L. Jackson', 'Ian McDiarmid', 'Jimmy Smits', 'Frank Oz', 'Anthony Daniels', 'Christopher Lee', 'Keisha Castle-Hughes', 'Silas Carson', ""Jay Laga'aia"", 'Bruce Spence', 'Wayne Pygram', 'Temuera Morrison', 'David Bowers', 'Oliver Ford Davies', 'Ahmed Best']","['George Lucas', 'John Ostrander', 'Jan Duursema']","['Lucasfilm', 'Mestiere Cinema', 'Pandora Films']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['personality change', 'elongated cry of no', 'tragic villain', 'spaceship', 'adoption']",['English'],['United States'],2005-07-15,140,868390560,7.5,746000,['PG-13'],2005,7,15,16.5,1,31088,3,1,3,585,1,1,4,1,0,4
Frozen,2294629,150000000,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad', 'Santino Fontana', 'Alan Tudyk', 'Ciarán Hinds', 'Chris Williams', 'Stephen J. Anderson', 'Maia Wilson', 'Edie McClurg', 'Robert Pine', 'Maurice LaMarche', 'Livvy Stubenrauch', 'Eva Bella', 'Spencer Lacey Ganus', 'Jesse Corti', 'Jeffrey Marcus']","['Jennifer Lee', 'Hans Christian Andersen', 'Chris Buck']","['Walt Disney Animation Studios', 'Walt Disney Pictures']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","['magic', 'snowman', 'sister sister relationship', 'ice', 'snow']","['English', 'Norwegian']","['United States', 'Norway']",2013-12-13,102,1281508100,7.4,598000,['PG'],2013,12,13,16.333333333333332,1,16674,3,0,2,740,2,1,4,1,165,2
Spider-Man: Far from Home,6320628,160000000,"['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal', 'Marisa Tomei', 'Jon Favreau', 'Zendaya', 'Jacob Batalon', 'Tony Revolori', 'Angourie Rice', 'Remy Hii', 'Martin Starr', 'J.B. Smoove', 'Jorge Lendeborg Jr.', 'Cobie Smulders', 'Numan Acar', 'Zach Barack', 'Zoha Rahman', 'Yasmin Mwanza']","['Stan Lee', 'Erik Sommers', 'Jon Watts', 'Chris McKenna']","['Columbia Pictures', 'Pascal Pictures', 'Marvel Studios']","['Action', 'Adventure', 'Sci-Fi']","['marvel cinematic universe', 'vacation', 'school trip', 'superhero', 'sequel']","['English', 'Italian', 'Czech']",['United States'],2019-07-05,129,1131927996,7.4,406000,['PG-13'],2019,7,5,16.333333333333332,1,24669,2,1,3,866,2,1,4,5,167,4
Finding Nemo,266543,94000000,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe', 'Brad Garrett', 'Allison Janney', 'Austin Pendleton', 'Stephen Root', 'Vicki Lewis', 'Joe Ranft', 'Geoffrey Rush', 'Andrew Stanton', 'Elizabeth Perkins', 'Nicholas Bird', 'Bob Peterson', 'Barry Humphries', 'Eric Bana', 'Bruce Spence']","['Bob Peterson', 'David Reynolds', 'Lee Unkrich', 'Andrew Stanton']","['Pixar Animation Studios', 'Walt Disney Pictures']","['Animation', 'Adventure', 'Comedy', 'Family']","['pufferfish', 'shark', 'great barrier reef', 'short term memory loss', 'protective father']",['English'],['United States'],2004-05-28,100,940352645,8.1,995000,['G'],2004,5,28,16.75,1,25201,0,0,2,773,2,1,4,1,0,3
Guardians of the Galaxy Vol. 2,3896198,200000000,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Sylvester Stallone', 'Kurt Russell', 'Elizabeth Debicki', 'Chris Sullivan', 'Sean Gunn', 'Tommy Flanagan', 'Laura Haddock', 'Aaron Schwartz', 'Hannah Harlow', 'Hilty Bowen']","['James Gunn', 'Andy Lanning', 'Dan Abnett']","['Marvel Studios', 'Walt Disney Pictures']","['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['marvel cinematic universe', 'demi god', 'mixtape', 'alien creature', 'sarcasm']",['English'],['United States'],2017-04-28,136,863756051,7.6,624000,['PG-13'],2017,4,28,15.0,0,30149,4,1,2,775,2,1,4,1,0,4
Harry Potter and the Deathly Hallows: Part 2,1201607,125000000,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon', 'Ralph Fiennes', 'Alan Rickman', 'Evanna Lynch', 'Domhnall Gleeson', 'Clémence Poésy', 'Warwick Davis', 'John Hurt', 'Helena Bonham Carter', 'Graham Duff', 'Anthony Allgood', 'Rusty Goffe', 'Jon Key', 'Kelly Macdonald', 'Jason Isaacs']","['Steve Kloves', 'J.K. Rowling', 'David Yates']","['Warner Bros.', 'Heyday Films', 'Moving Picture Company (MPC)']","['Adventure', 'Fantasy', 'Mystery']","['ginny weasley character', 'lucius malfoy character', 'hermione granger character', 'twins', 'battle']","['English', 'Latin']","['United Kingdom', 'United States']",2012-02-03,130,1342321665,8.1,816000,['PG-13'],2012,2,3,15.666666666666666,0,34141,5,1,3,835,2,1,7,2,0,4
Jurassic Park,107290,63000000,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough', 'Bob Peck', 'Martin Ferrero', 'BD Wong', 'Joseph Mazzello', 'Ariana Richards', 'Samuel L. Jackson', 'Wayne Knight', 'Gerald R. Molen', 'Miguel Sandoval', 'Cameron Thor', 'Christopher John Fields', 'Whit Hertford', 'Dean Cundey', 'Jophery C. Brown']","['Michael Crichton', 'David Koepp', 'Steven Spielberg']","['Universal Pictures', 'Amblin Entertainment']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']","['dinosaur', 'sneeze', 'bipedal dinosaur', 'national film registry', 'tyrannosaurus rex']","['English', 'Spanish']",['United States'],1993-06-11,127,1033928303,8.1,921000,['PG-13'],1993,6,11,15.5,1,23297,0,0,2,671,2,0,4,4,0,4
Transformers: Revenge of the Fallen,1055369,200000000,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'John Turturro', 'Ramon Rodriguez', 'Kevin Dunn', 'Julie White', 'Isabel Lucas', 'John Benjamin Hickey', 'Matthew Marsden', 'Andrew Howard', 'Michael Papajohn', 'Glenn Morshower', 'John Eric Bentley', 'Erin Naas', 'Rainn Wilson', 'Katie Lowes']","['Ehren Kruger', 'Michael Bay', 'Roberto Orci', 'Alex Kurtzman']","['Dreamworks Pictures', 'Paramount Pictures', 'Tom DeSanto/Don Murphy Production']","['Action', 'Adventure', 'Sci-Fi']","['optimus prime character', 'megatron character', 'toaster', 'ratchet character', 'evil robot']","['English', 'Spanish']",['United States'],2009-07-03,149,836303693,6.0,397000,['PG-13'],2009,7,3,16.333333333333332,1,35123,2,1,3,683,2,0,4,4,0,4
Harry Potter and the Goblet of Fire,330373,150000000,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Eric Sykes', 'Timothy Spall', 'David Tennant', 'Mark Williams', 'James Phelps', 'Oliver Phelps', 'Bonnie Wright', 'Jeff Rawle', 'Robert Pattinson', 'Jason Isaacs', 'Tom Felton', 'Stanislav Yanevski', 'Robert Hardy', 'Philip Rham', 'Olivia Higginbottom']","['Mike Newell', 'Steve Kloves', 'J.K. Rowling']","['Warner Bros.', 'Heyday Films', 'Patalex IV Productions Limited']","['Adventure', 'Family', 'Fantasy', 'Mystery']","['tournament', 'wizard', 'magic', 'school of magic', 'heroism']","['English', 'French', 'Latin']","['United Kingdom', 'United States']",2006-08-25,157,896678241,7.7,584000,['PG-13'],2006,8,25,16.25,0,23630,3,1,3,833,2,1,7,3,165,4
Spider-Man 2,316654,200000000,"['Tobey Maguire', 'Kirsten Dunst', 'Alfred Molina', 'James Franco', 'Rosemary Harris', 'J.K. Simmons', 'Donna Murphy', 'Daniel Gillies', 'Dylan Baker', 'Bill Nunn', 'Vanessa Ferlito', 'Aasif Mandvi', 'Willem Dafoe', 'Cliff Robertson', 'Ted Raimi', 'Elizabeth Banks', 'Bruce Campbell', 'Gregg Edelman']","['Stan Lee', 'Sam Raimi', 'Steve Ditko', 'Alfred Gough']","['Columbia Pictures', 'Marvel Enterprises', 'Laura Ziskin Productions']","['Action', 'Adventure', 'Sci-Fi']","['peter parker character', 'older actors younger roles', 'may parker character', 'spider man character', 'ben parker character']","['English', 'Russian', 'Chinese']",['United States'],2004-11-09,127,788976453,7.3,596000,['PG-13'],2004,11,9,16.333333333333332,1,41539,1,0,3,1073,3,1,4,7,0,4
